Company.Name,Sector,Industry,Market.Capitalization,Shares,Employees,Revenues,Net.Income,Cash.Flow,Shares.1
W. R. Berkley Corp,Financial,Property & Casualty Insurance,"13,175",194,"7,621","7,878",700,-2,252
Westrock Co,Basic Materials,Containers & Packaging,"10,542",259,"39,000","18,289",868,0,"1,369"
Williams Sonoma Inc,Consumer Discretionary,Furniture & Fixtures,"5,479",79,"28,100","5,839",351,-119,43
Western Union Co,Services,Professional Services,"11,449",427,"9,000","5,386","1,135",0,184
Weyerhaeuser Company,Financial,Real Estate Investment Trusts,"22,033",747,"12,800","10,462",-155,-14,186
"Wynn Resorts, Limited",Services,Casinos & Gaming,"12,805",107,"16,800","6,638",944,0,"1,206"
United States Steel Corporation,Basic Materials,Iron & Steel,"2,311",171,"34,680","12,692",630,0,"1,333"
Xcel Energy Inc,Utilities,Electric Utilities,"31,893",521,"11,589","14,382","1,294",651,"4,215"
"Xilinx, Inc",Technology,Semiconductors,"22,934",255,"3,451","3,229",924,311,97
Exxon Mobil Corp,Energy,Oil & Gas Integrated Operations,"293,620","4,288","75,300","282,457","18,449",-388,"22,670"
Dentsply Sirona Inc.,Healthcare,Medical Equipment & Supplies,"12,689",226,"11,600","3,959","-1,119",-3,74
"22nd Century Group, Inc.",Consumer Non Cyclical,Tobacco,125,125,"12,700",26,-29,-0,1
"Yum! Brands, Inc.",Services,Restaurants,"31,554",315,"537,000","5,461",716,0,196
"Zions Bancorporation, National Association",Financial,Regional Banks,"9,419",189,"10,462","2,804",860,-8,43
Whirlpool Corp,Consumer Discretionary,Appliance & Tool,"9,094",64,"100,000","20,697","1,080",0,566
"Waste Management, Inc",Services,Environmental Services,"47,981",427,"39,800","15,474","1,866",0,"1,986"
"WilliamsÂ companies,Â inc.",Utilities,Natural Gas Utilities,"27,719","1,214","6,742","8,298",234,205,"2,339"
"Advanced Drainage Systems, Inc.",Capital Goods,Miscellaneous Manufacturing,"2,308",61,"4,615","1,634",-173,-9,15
Walmart Inc.,Retail,Department & Discount Retail,"339,902","2,869","2,200,000","517,989","13,216",0,"19,497"
Worthington Industries Inc,Basic Materials,Iron & Steel,"4,216",110,"10,500","3,627",104,-4,87
W. R. Berkley Corp,Financial,Property & Casualty Insurance,"13,175",194,"7,621","7,878",700,-2,252
Westrock Co,Basic Materials,Containers & Packaging,"10,542",259,"39,000","18,289",868,0,"1,369"
Williams Sonoma Inc,Consumer Discretionary,Furniture & Fixtures,"5,479",79,"28,100","5,839",351,-119,43
Western Union Co,Services,Professional Services,"11,449",427,"9,000","5,386","1,135",0,184
Weyerhaeuser Company,Financial,Real Estate Investment Trusts,"22,033",747,"12,800","10,462",-155,-14,186
"Wynn Resorts, Limited",Services,Casinos & Gaming,"12,805",107,"16,800","6,638",944,0,"1,206"
United States Steel Corporation,Basic Materials,Iron & Steel,"2,311",171,"34,680","12,692",630,0,"1,333"
Xcel Energy Inc,Utilities,Electric Utilities,"31,893",521,"11,589","14,382","1,294",651,"4,215"
"Xilinx, Inc",Technology,Semiconductors,"22,934",255,"3,451","3,229",924,311,97
Exxon Mobil Corp,Energy,Oil & Gas Integrated Operations,"293,620","4,288","75,300","282,457","18,449",-388,"22,670"
Dentsply Sirona Inc.,Healthcare,Medical Equipment & Supplies,"12,689",226,"11,600","3,959","-1,119",-3,74
"22nd Century Group, Inc.",Consumer Non Cyclical,Tobacco,125,125,"12,700",26,-29,-0,1
"Yum! Brands, Inc.",Services,Restaurants,"31,554",315,"537,000","5,461",716,0,196
"Zions Bancorporation, National Association",Financial,Regional Banks,"9,419",189,"10,462","2,804",860,-8,43
Whirlpool Corp,Consumer Discretionary,Appliance & Tool,"9,094",64,"100,000","20,697","1,080",0,566
"Waste Management, Inc",Services,Environmental Services,"47,981",427,"39,800","15,474","1,866",0,"1,986"
"WilliamsÂ companies,Â inc.",Utilities,Natural Gas Utilities,"27,719","1,214","6,742","8,298",234,205,"2,339"
"Advanced Drainage Systems, Inc.",Capital Goods,Miscellaneous Manufacturing,"2,308",61,"4,615","1,634",-173,-9,15
Walmart Inc.,Retail,Department & Discount Retail,"339,902","2,869","2,200,000","517,989","13,216",0,"19,497"
Worthington Industries Inc,Basic Materials,Iron & Steel,"4,216",110,"10,500","3,627",104,-4,87
W. R. Berkley Corp,Financial,Property & Casualty Insurance,"13,175",194,"7,621","7,878",700,-2,252
Westrock Co,Basic Materials,Containers & Packaging,"10,542",259,"39,000","18,289",868,0,"1,369"
Williams Sonoma Inc,Consumer Discretionary,Furniture & Fixtures,"5,479",79,"28,100","5,839",351,-119,43
Western Union Co,Services,Professional Services,"11,449",427,"9,000","5,386","1,135",0,184
Weyerhaeuser Company,Financial,Real Estate Investment Trusts,"22,033",747,"12,800","10,462",-155,-14,186
"Wynn Resorts, Limited",Services,Casinos & Gaming,"12,805",107,"16,800","6,638",944,0,"1,206"
United States Steel Corporation,Basic Materials,Iron & Steel,"2,311",171,"34,680","12,692",630,0,"1,333"
Xcel Energy Inc,Utilities,Electric Utilities,"31,893",521,"11,589","14,382","1,294",651,"4,215"
"Xilinx, Inc",Technology,Semiconductors,"22,934",255,"3,451","3,229",924,311,97
Exxon Mobil Corp,Energy,Oil & Gas Integrated Operations,"293,620","4,288","75,300","282,457","18,449",-388,"22,670"
Dentsply Sirona Inc.,Healthcare,Medical Equipment & Supplies,"12,689",226,"11,600","3,959","-1,119",-3,74
"22nd Century Group, Inc.",Consumer Non Cyclical,Tobacco,125,125,"12,700",26,-29,-0,1
"Yum! Brands, Inc.",Services,Restaurants,"31,554",315,"537,000","5,461",716,0,196
"Zions Bancorporation, National Association",Financial,Regional Banks,"9,419",189,"10,462","2,804",860,-8,43
Whirlpool Corp,Consumer Discretionary,Appliance & Tool,"9,094",64,"100,000","20,697","1,080",0,566
"Waste Management, Inc",Services,Environmental Services,"47,981",427,"39,800","15,474","1,866",0,"1,986"
"WilliamsÂ companies,Â inc.",Utilities,Natural Gas Utilities,"27,719","1,214","6,742","8,298",234,205,"2,339"
"Advanced Drainage Systems, Inc.",Capital Goods,Miscellaneous Manufacturing,"2,308",61,"4,615","1,634",-173,-9,15
Walmart Inc.,Retail,Department & Discount Retail,"339,902","2,869","2,200,000","517,989","13,216",0,"19,497"
Worthington Industries Inc,Basic Materials,Iron & Steel,"4,216",110,"10,500","3,627",104,-4,87
W. R. Berkley Corp,Financial,Property & Casualty Insurance,"13,175",194,"7,621","7,878",700,-2,252
Westrock Co,Basic Materials,Containers & Packaging,"10,542",259,"39,000","18,289",868,0,"1,369"
Williams Sonoma Inc,Consumer Discretionary,Furniture & Fixtures,"5,479",79,"28,100","5,839",351,-119,43
Western Union Co,Services,Professional Services,"11,449",427,"9,000","5,386","1,135",0,184
Weyerhaeuser Company,Financial,Real Estate Investment Trusts,"22,030",747,"12,800","10,462",-155,-14,186
"Wynn Resorts, Limited",Services,Casinos & Gaming,"12,834",107,"16,800","6,638",944,0,"1,206"
United States Steel Corporation,Basic Materials,Iron & Steel,"2,338",171,"34,680","12,692",630,0,"1,333"
Xcel Energy Inc,Utilities,Electric Utilities,"31,961",521,"11,589","14,382","1,294",651,"4,215"
"Xilinx, Inc",Technology,Semiconductors,"23,135",255,"3,451","3,229",924,311,97
Exxon Mobil Corp,Energy,Oil & Gas Integrated Operations,"294,320","4,288","75,300","282,457","18,449",-388,"22,670"
Dentsply Sirona Inc.,Healthcare,Medical Equipment & Supplies,"12,734",226,"11,600","3,959","-1,119",-3,74
"22nd Century Group, Inc.",Consumer Non Cyclical,Tobacco,128,125,"12,700",26,-29,-0,1
"Yum! Brands, Inc.",Services,Restaurants,"31,589",315,"537,000","5,461",716,0,196
"Zions Bancorporation, National Association",Financial,Regional Banks,"9,402",189,"10,462","2,804",860,-8,43
Whirlpool Corp,Consumer Discretionary,Appliance & Tool,"9,163",64,"100,000","20,697","1,080",0,566
"Waste Management, Inc",Services,Environmental Services,"48,002",427,"39,800","15,474","1,866",0,"1,986"
"WilliamsÂ companies,Â inc.",Utilities,Natural Gas Utilities,"27,774","1,214","6,742","8,298",234,205,"2,339"
"Advanced Drainage Systems, Inc.",Capital Goods,Miscellaneous Manufacturing,"2,301",61,"4,615","1,634",-173,-9,15
Walmart Inc.,Retail,Department & Discount Retail,"339,259","2,869","2,200,000","517,989","13,216",0,"19,497"
Worthington Industries Inc,Basic Materials,Iron & Steel,"4,211",110,"10,500","3,627",104,-4,87
W. R. Berkley Corp,Financial,Property & Casualty Insurance,"13,291",194,"7,621","7,878",700,-2,252
Westrock Co,Basic Materials,Containers & Packaging,"10,545",259,"39,000","18,289",868,0,"1,369"
Williams Sonoma Inc,Consumer Discretionary,Furniture & Fixtures,"5,468",79,"28,100","5,839",351,-119,43
Western Union Co,Services,Professional Services,"11,500",427,"9,000","5,386","1,135",0,184
Weyerhaeuser Company,Financial,Real Estate Investment Trusts,"22,030",747,"12,800","10,462",-155,-14,186
"Wynn Resorts, Limited",Services,Casinos & Gaming,"12,834",107,"16,800","6,638",944,0,"1,206"
United States Steel Corporation,Basic Materials,Iron & Steel,"2,338",171,"34,680","12,692",630,0,"1,333"
Xcel Energy Inc,Utilities,Electric Utilities,"31,961",521,"11,589","14,382","1,294",651,"4,215"
"Xilinx, Inc",Technology,Semiconductors,"23,135",255,"3,451","3,229",924,311,97
Exxon Mobil Corp,Energy,Oil & Gas Integrated Operations,"294,320","4,288","75,300","282,457","18,449",-388,"22,670"
Dentsply Sirona Inc.,Healthcare,Medical Equipment & Supplies,"12,734",226,"11,600","3,959","-1,119",-3,74
"22nd Century Group, Inc.",Consumer Non Cyclical,Tobacco,128,125,"12,700",26,-29,-0,1
"Yum! Brands, Inc.",Services,Restaurants,"31,589",315,"537,000","5,461",716,0,196
"Zions Bancorporation, National Association",Financial,Regional Banks,"9,402",189,"10,462","2,804",860,-8,43
Whirlpool Corp,Consumer Discretionary,Appliance & Tool,"9,163",64,"100,000","20,697","1,080",0,566
"Waste Management, Inc",Services,Environmental Services,"48,002",427,"39,800","15,474","1,866",0,"1,986"
"WilliamsÂ companies,Â inc.",Utilities,Natural Gas Utilities,"27,774","1,214","6,742","8,298",234,205,"2,339"
"Advanced Drainage Systems, Inc.",Capital Goods,Miscellaneous Manufacturing,"2,301",61,"4,615","1,634",-173,-9,15
Walmart Inc.,Retail,Department & Discount Retail,"339,259","2,869","2,200,000","517,989","13,216",0,"19,497"
Worthington Industries Inc,Basic Materials,Iron & Steel,"4,211",110,"10,500","3,627",104,-4,87
W. R. Berkley Corp,Financial,Property & Casualty Insurance,"13,291",194,"7,621","7,878",700,-2,252
Westrock Co,Basic Materials,Containers & Packaging,"10,545",259,"39,000","18,289",868,0,"1,369"
Williams Sonoma Inc,Consumer Discretionary,Furniture & Fixtures,"5,468",79,"28,100","5,839",351,-119,43
Western Union Co,Services,Professional Services,"11,500",427,"9,000","5,386","1,135",0,184
Weyerhaeuser Company,Financial,Real Estate Investment Trusts,"22,030",747,"12,800","10,462",-155,-14,186
"Wynn Resorts, Limited",Services,Casinos & Gaming,"12,834",107,"16,800","6,638",944,0,"1,206"
United States Steel Corporation,Basic Materials,Iron & Steel,"2,338",171,"34,680","12,692",630,0,"1,333"
Xcel Energy Inc,Utilities,Electric Utilities,"31,961",521,"11,589","14,382","1,294",651,"4,215"
"Xilinx, Inc",Technology,Semiconductors,"23,135",255,"3,451","3,229",924,311,97
Exxon Mobil Corp,Energy,Oil & Gas Integrated Operations,"294,320","4,288","75,300","282,457","18,449",-388,"22,670"
Dentsply Sirona Inc.,Healthcare,Medical Equipment & Supplies,"12,734",226,"11,600","3,959","-1,119",-3,74
"22nd Century Group, Inc.",Consumer Non Cyclical,Tobacco,128,125,"12,700",26,-29,-0,1
"Yum! Brands, Inc.",Services,Restaurants,"31,589",315,"537,000","5,461",716,0,196
"Zions Bancorporation, National Association",Financial,Regional Banks,"9,402",189,"10,462","2,804",860,-8,43
Whirlpool Corp,Consumer Discretionary,Appliance & Tool,"9,163",64,"100,000","20,697","1,080",0,566
"Waste Management, Inc",Services,Environmental Services,"48,002",427,"39,800","15,474","1,866",0,"1,986"
"WilliamsÂ companies,Â inc.",Utilities,Natural Gas Utilities,"27,774","1,214","6,742","8,298",234,205,"2,339"
"Advanced Drainage Systems, Inc.",Capital Goods,Miscellaneous Manufacturing,"2,301",61,"4,615","1,634",-173,-9,15
Walmart Inc.,Retail,Department & Discount Retail,"339,259","2,869","2,200,000","517,989","13,216",0,"19,497"
Worthington Industries Inc,Basic Materials,Iron & Steel,"4,211",110,"10,500","3,627",104,-4,87
W. R. Berkley Corp,Financial,Property & Casualty Insurance,"13,291",194,"7,621","7,878",700,-2,252
Westrock Co,Basic Materials,Containers & Packaging,"10,545",259,"39,000","18,289",868,0,"1,369"
Williams Sonoma Inc,Consumer Discretionary,Furniture & Fixtures,"5,468",79,"28,100","5,839",351,-119,43
Western Union Co,Services,Professional Services,"11,500",427,"9,000","5,386","1,135",0,184
Weyerhaeuser Company,Financial,Real Estate Investment Trusts,"22,030",747,"12,800","10,462",-155,-14,186
"Wynn Resorts, Limited",Services,Casinos & Gaming,"12,834",107,"16,800","6,638",944,0,"1,206"
United States Steel Corporation,Basic Materials,Iron & Steel,"2,338",171,"34,680","12,692",630,0,"1,333"
Xcel Energy Inc,Utilities,Electric Utilities,"31,961",521,"11,589","14,382","1,294",651,"4,215"
"Xilinx, Inc",Technology,Semiconductors,"23,135",255,"3,451","3,229",924,311,97
Exxon Mobil Corp,Energy,Oil & Gas Integrated Operations,"294,320","4,288","75,300","282,457","18,449",-388,"22,670"
Dentsply Sirona Inc.,Healthcare,Medical Equipment & Supplies,"12,734",226,"11,600","3,959","-1,119",-3,74
"22nd Century Group, Inc.",Consumer Non Cyclical,Tobacco,128,125,"12,700",26,-29,-0,1
"Yum! Brands, Inc.",Services,Restaurants,"31,589",315,"537,000","5,461",716,0,196
"Zions Bancorporation, National Association",Financial,Regional Banks,"9,402",189,"10,462","2,804",860,-8,43
Whirlpool Corp,Consumer Discretionary,Appliance & Tool,"9,163",64,"100,000","20,697","1,080",0,566
"Waste Management, Inc",Services,Environmental Services,"48,002",427,"39,800","15,474","1,866",0,"1,986"
"WilliamsÂ companies,Â inc.",Utilities,Natural Gas Utilities,"27,774","1,214","6,742","8,298",234,205,"2,339"
"Advanced Drainage Systems, Inc.",Capital Goods,Miscellaneous Manufacturing,"2,301",61,"4,615","1,634",-173,-9,15
Walmart Inc.,Retail,Department & Discount Retail,"339,259","2,869","2,200,000","517,989","13,216",0,"19,497"
Worthington Industries Inc,Basic Materials,Iron & Steel,"4,211",110,"10,500","3,627",104,-4,87
W. R. Berkley Corp,Financial,Property & Casualty Insurance,"13,291",194,"7,621","7,878",700,-2,252
Westrock Co,Basic Materials,Containers & Packaging,"10,545",259,"39,000","18,289",868,0,"1,369"
Williams Sonoma Inc,Consumer Discretionary,Furniture & Fixtures,"5,468",79,"28,100","5,839",351,-119,43
Western Union Co,Services,Professional Services,"11,500",427,"9,000","5,386","1,135",0,184
Weyerhaeuser Company,Financial,Real Estate Investment Trusts,"22,030",747,"12,800","10,462",-155,-14,186
"Wynn Resorts, Limited",Services,Casinos & Gaming,"12,834",107,"16,800","6,638",944,0,"1,206"
United States Steel Corporation,Basic Materials,Iron & Steel,"2,338",171,"34,680","12,692",630,0,"1,333"
Xcel Energy Inc,Utilities,Electric Utilities,"31,961",521,"11,589","14,382","1,294",651,"4,215"
"Xilinx, Inc",Technology,Semiconductors,"23,135",255,"3,451","3,229",924,311,97
Exxon Mobil Corp,Energy,Oil & Gas Integrated Operations,"294,320","4,288","75,300","282,457","18,449",-388,"22,670"
Dentsply Sirona Inc.,Healthcare,Medical Equipment & Supplies,"12,734",226,"11,600","3,959","-1,119",-3,74
"22nd Century Group, Inc.",Consumer Non Cyclical,Tobacco,128,125,"12,700",26,-29,-0,1
"Yum! Brands, Inc.",Services,Restaurants,"31,589",315,"537,000","5,461",716,0,196
"Zions Bancorporation, National Association",Financial,Regional Banks,"9,402",189,"10,462","2,804",860,-8,43
Whirlpool Corp,Consumer Discretionary,Appliance & Tool,"9,163",64,"100,000","20,697","1,080",0,566
"Waste Management, Inc",Services,Environmental Services,"48,002",427,"39,800","15,474","1,866",0,"1,986"
"WilliamsÂ companies,Â inc.",Utilities,Natural Gas Utilities,"27,774","1,214","6,742","8,298",234,205,"2,339"
"Advanced Drainage Systems, Inc.",Capital Goods,Miscellaneous Manufacturing,"2,301",61,"4,615","1,634",-173,-9,15
Walmart Inc.,Retail,Department & Discount Retail,"339,259","2,869","2,200,000","517,989","13,216",0,"19,497"
Worthington Industries Inc,Basic Materials,Iron & Steel,"4,211",110,"10,500","3,627",104,-4,87
